Test ID,Test name,Test type,Test param 1,Test param 2,Test param 3,Time [s],Trace 1,Trace 2,Trace 3,Trace 4,Trace 5,Trace 6,Trace 7,Trace 8,Trace 9,Trace 10,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6
40949159-7743-4ec7-b1d1-41bc7fd0ab8f,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.1,1,0.82,0.11,1,0.91,0,0.35,0.5,1,0,0,87.45,262.59,7.1,7.25,7.09,8.53
40949159-7743-4ec7-b1d1-41bc7fd0ab8f,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.1,2,0.83,0.72,0.34,0.32,1,0.77,1,0.11,0.71,0.59,,,,,,
40949159-7743-4ec7-b1d1-41bc7fd0ab8f,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.1,3,0.38,0.35,0.42,0.6,0.67,0.29,0.5,0.18,0.82,0.51,,,,,,
40949159-7743-4ec7-b1d1-41bc7fd0ab8f,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.1,4,0.52,0.33,0.37,0.3,0.33,0.67,1,0.1,0.78,0.55,,,,,,
40949159-7743-4ec7-b1d1-41bc7fd0ab8f,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.1,5,0,0.01,0.08,0.78,0.33,0.48,0.83,0,0.63,1,,,,,,
40949159-7743-4ec7-b1d1-41bc7fd0ab8f,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.1,6,0.13,0,0,0,0.33,1,0,0.08,0.74,0.69,,,,,,
40949159-7743-4ec7-b1d1-41bc7fd0ab8f,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.1,7,1,1,0.74,1,0.66,0,0.58,0.24,0.91,0.81,,,,,,
40949159-7743-4ec7-b1d1-41bc7fd0ab8f,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.1,8,0.09,0,0.31,0.76,0.33,0.32,0.08,0.25,0.89,0.39,,,,,,
40949159-7743-4ec7-b1d1-41bc7fd0ab8f,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.1,9,0.42,0.37,0.26,0.74,0.33,0.51,0.58,0.3,1,0.58,,,,,,
40949159-7743-4ec7-b1d1-41bc7fd0ab8f,Test 1,Type 1,Param 1.1,Param 2.1,Param 3.1,10,0.23,0.36,0,0.2,0.33,0.72,0.33,0.1,0.69,0.74,,,,,,
cfd81545-bb04-45d0-8d69-5f9a043c46e4,Test 2,Type 2,Param 1.1,Param 2.1,Param 3.1,1,1,1,1,0.59,0.5,0.74,0.42,1,1,0,13.38,105.91,6.39,2.36,6.78,7.22
cfd81545-bb04-45d0-8d69-5f9a043c46e4,Test 2,Type 2,Param 1.1,Param 2.1,Param 3.1,2,0.94,0.59,0.89,0.58,0.38,1,0.37,0,0,0.57,,,,,,
cfd81545-bb04-45d0-8d69-5f9a043c46e4,Test 2,Type 2,Param 1.1,Param 2.1,Param 3.1,3,0,0.21,0,0,0,0.41,0.53,0.11,0.24,0.43,,,,,,
